,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,streetViewMetadataURL,streetViewURL,isPropertyResultCDP,builderName,lotAreaString,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
377,303877085,https://www.zillow.com/homedetails/1750-Wewatta-St-UNIT-1934-Denver-CO-80202/303877085_zpid/,"$3,475,000","1750 Wewatta Street  Unit 1934, Denver, CO 80202",1750 Wewatta Street  Unit 1934,Denver,CO,80202,3360439,,,,,,,,,,,,,,,,,,,,,
378,247393844,https://www.zillow.com/homedetails/4160-E-Warren-Ave-UNIT-5-Denver-CO-80222/247393844_zpid/,"$525,000","4160 E Warren Avenue  Unit 5, Denver, CO 80222",4160 E Warren Avenue  Unit 5,Denver,CO,80222,559200,,,,,,,,,,,,,,,,,,,,,
379,337665586,https://www.zillow.com/homedetails/2300-S-Ash-St-Denver-CO-80222/337665586_zpid/,"$1,399,900","2300 S Ash Street, Denver, CO 80222",2300 S Ash Street,Denver,CO,80222,1378279,,,,,,,,,,,,,,,,,,,,,
380,13372737,https://www.zillow.com/homedetails/1320-S-Elizabeth-St-Denver-CO-80210/13372737_zpid/,"$2,995,000","1320 S Elizabeth Street, Denver, CO 80210",1320 S Elizabeth Street,Denver,CO,80210,2913318,,,,,,,,,,,,,,,,,,,,,
381,13294235,https://www.zillow.com/homedetails/4562-N-Quitman-St-Denver-CO-80212/13294235_zpid/,"$2,270,000","4562 N Quitman Street, Denver, CO 80212",4562 N Quitman Street,Denver,CO,80212,618300,,,,,,,,,,,,,,,,,,,,,
382,13288318,https://www.zillow.com/homedetails/1959-Leyden-St-Denver-CO-80220/13288318_zpid/,"$1,545,000","1959 Leyden Street, Denver, CO 80220",1959 Leyden Street,Denver,CO,80220,1535373,,,,,,,,,,,,,,,,,,,,,
383,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,"$4,500,000","1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989,,,,,,,,,,,,,,,,,,,,,
384,13299704,https://www.zillow.com/homedetails/4035-Shoshone-St-Denver-CO-80211/13299704_zpid/,"$999,000","4035 Shoshone Street, Denver, CO 80211",4035 Shoshone Street,Denver,CO,80211,998200,,,,,,,,,,,,,,,,,,,,,
385,61471027,https://www.zillow.com/homedetails/1800-Lawrence-St-APT-202-Denver-CO-80202/61471027_zpid/,"$439,000","1800 Lawrence Street  Unit 202, Denver, CO 80202",1800 Lawrence Street  Unit 202,Denver,CO,80202,434999,,,,,,,,,,,,,,,,,,,,,
386,13403719,https://www.zillow.com/homedetails/1080-S-Kearney-St-Denver-CO-80224/13403719_zpid/,"$735,000","1080 S Kearney Street, Denver, CO 80224",1080 S Kearney Street,Denver,CO,80224,726352,,,,,,,,,,,,,,,,,,,,,
387,13427505,https://www.zillow.com/homedetails/4645-W-Princeton-Ave-Denver-CO-80236/13427505_zpid/,"$889,000","4645 W Princeton Avenue, Denver, CO 80236",4645 W Princeton Avenue,Denver,CO,80236,878839,,,,,,,,,,,,,,,,,,,,,
388,2062986338,https://www.zillow.com/homedetails/100-Xavier-St-Denver-CO-80219/2062986338_zpid/,"$559,000","100 Xavier Street, Denver, CO 80219",100 Xavier Street,Denver,CO,80219,,,,,,,,,,,,,,,,,,,,,,
389,13372709,https://www.zillow.com/homedetails/1317-S-Milwaukee-St-Denver-CO-80210/13372709_zpid/,"$2,695,000","1317 S Milwaukee Street, Denver, CO 80210",1317 S Milwaukee Street,Denver,CO,80210,2609500,,,,,,,,,,,,,,,,,,,,,
390,121234353,https://www.zillow.com/homedetails/11336-E-27th-Ave-Denver-CO-80238/121234353_zpid/,"$800,000","11336 E 27th Avenue, Denver, CO 80238",11336 E 27th Avenue,Denver,CO,80238,830600,,,,,,,,,,,,,,,,,,,,,
391,13408359,https://www.zillow.com/homedetails/1460-S-Ivy-Way-Denver-CO-80224/13408359_zpid/,"$664,900","1460 S Ivy Way, Denver, CO 80224",1460 S Ivy Way,Denver,CO,80224,616300,,,,,,,,,,,,,,,,,,,,,
392,13330511,https://www.zillow.com/homedetails/1008-N-Corona-St-APT-103-Denver-CO-80218/13330511_zpid/,"$269,000","1008 N Corona Street  Unit 103, Denver, CO 80218",1008 N Corona Street  Unit 103,Denver,CO,80218,278700,,,,,,,,,,,,,,,,,,,,,
393,13414974,https://www.zillow.com/homedetails/3489-S-Dahlia-St-Denver-CO-80222/13414974_zpid/,"$550,000","3489 S Dahlia Street, Denver, CO 80222",3489 S Dahlia Street,Denver,CO,80222,543900,,,,,,,,,,,,,,,,,,,,,
394,58296950,https://www.zillow.com/homedetails/20741-E-40th-Ave-Denver-CO-80249/58296950_zpid/,"$450,000","20741 E 40th Avenue, Denver, CO 80249",20741 E 40th Avenue,Denver,CO,80249,445187,,,,,,,,,,,,,,,,,,,,,
395,2060829497,https://www.zillow.com/homedetails/4520-W-41st-Ave-4518-Denver-CO-80212/2060829497_zpid/,"$599,900","4520 W 41st Avenue  Unit 4518-4520, Denver, CO 80212",4520 W 41st Avenue  Unit 4518-4520,Denver,CO,80212,,,,,,,,,,,,,,,,,,,,,,
396,2090517792,https://www.zillow.com/homedetails/4144-Tennyson-12-Denver-CO-80212/2090517792_zpid/,"$689,900","4144 Tennyson Street  Unit 12, Denver, CO 80212",4144 Tennyson Street  Unit 12,Denver,CO,80212,680670,,,,,,,,,,,,,,,,,,,,,
397,13406279,https://www.zillow.com/homedetails/4523-E-Bails-Pl-Denver-CO-80222/13406279_zpid/,"$799,000","4523 E Bails Place, Denver, CO 80222",4523 E Bails Place,Denver,CO,80222,612500,,,,,,,,,,,,,,,,,,,,,
398,13303536,https://www.zillow.com/homedetails/3335-N-Columbine-St-Denver-CO-80205/13303536_zpid/,"$325,000","3335 N Columbine Street, Denver, CO 80205",3335 N Columbine Street,Denver,CO,80205,319800,,,,,,,,,,,,,,,,,,,,,
399,13273197,https://www.zillow.com/homedetails/14470-E-43rd-Ave-Denver-CO-80239/13273197_zpid/,"$470,000","14470 E 43rd Avenue, Denver, CO 80239",14470 E 43rd Avenue,Denver,CO,80239,464881,,,,,,,,,,,,,,,,,,,,,
400,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,"$2,490,000","379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300,,,,,,,,,,,,,,,,,,,,,
401,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,"$749,000","1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651,,,,,,,,,,,,,,,,,,,,,
